name,summary,content
rat,"Rats are various medium-sized, long-tailed rodents. Species of rats are found throughout the order Rodentia, but stereotypical rats are found in the genus Rattus. Other rat genera include Neotoma (pack rats), Bandicota (bandicoot rats) and Dipodomys (kangaroo rats).
Rats are typically distinguished from mice by their size. Usually the common name of a large muroid rodent will include the word ""rat"", while a smaller muroid's name will include ""mouse"". The common terms rat and mouse are not taxonomically specific. There are 56 known species of rats in the world.","Rats are various medium-sized, long-tailed rodents. Species of rats are found throughout the order Rodentia, but stereotypical rats are found in the genus Rattus. Other rat genera include Neotoma (pack rats), Bandicota (bandicoot rats) and Dipodomys (kangaroo rats).
Rats are typically distinguished from mice by their size. Usually the common name of a large muroid rodent will include the word ""rat"", while a smaller muroid's name will include ""mouse"". The common terms rat and mouse are not taxonomically specific. There are 56 known species of rats in the world.

Species and description
The best-known rat species are the black rat (Rattus rattus) and the brown rat (Rattus norvegicus). This group, generally known as the Old World rats or true rats, originated in Asia. Rats are bigger than most Old World mice, which are their relatives, but seldom weigh over 500 grams (17+1⁄2 oz) in the wild.The term rat is also used in the names of other small mammals that are not true rats. Examples include the North American pack rats (aka wood rats) and a number of species loosely called kangaroo rats. Rats such as the bandicoot rat (Bandicota bengalensis) are murine rodents related to true rats but are not members of the genus Rattus.
Male rats are called bucks; unmated females, does, pregnant or parent females, dams; and infants, kittens or pups. A group of rats is referred to as a mischief.The common species are opportunistic survivors and often live with and near humans; therefore, they are known as commensals. They may cause substantial food losses, especially in developing countries. However, the widely distributed and problematic commensal species of rats are a minority in this diverse genus. Many species of rats are island endemics, some of which have become endangered due to habitat loss or competition with the brown, black, or Polynesian rat.Wild rodents, including rats, can carry many different zoonotic pathogens, such as Leptospira, Toxoplasma gondii, and Campylobacter. The Black Death is traditionally believed to have been caused by the microorganism Yersinia pestis, carried by the tropical rat flea (Xenopsylla cheopis), which preyed on black rats living in European cities during the epidemic outbreaks of the Middle Ages; these rats were used as transport hosts. Another zoonotic disease linked to the rat is foot-and-mouth disease.Rats become sexually mature at age 6 weeks, but reach social maturity at about 5 to 6 months of age. The average lifespan of rats varies by species, but many only live about a year due to predation.The black and brown rats diverged from other Old World rats in the forests of Asia during the beginning of the Pleistocene.

Rat tails
The characteristic long tail of most rodents is a feature that has been extensively studied in various rat species models, which suggest three primary functions of this structure: thermoregulation, minor proprioception, and a nocifensive-mediated degloving response. Rodent tails—particularly in rat models—have been implicated with a thermoregulation function that follows from its anatomical construction. This particular tail morphology is evident across the family Muridae, in contrast to the bushier tails of Sciuridae, the squirrel family. The tail is hairless and thin skinned but highly vascularized, thus allowing for efficient countercurrent heat exchange with the environment. The high muscular and connective tissue densities of the tail, along with ample muscle attachment sites along its plentiful caudal vertebrae, facilitate specific proprioceptive senses to help orient the rodent in a three-dimensional environment. Murids have evolved a unique defense mechanism termed degloving that allows for escape from predation through the loss of the outermost integumentary layer on the tail. However, this mechanism is associated with multiple pathologies that have been the subject of investigation.Multiple studies have explored the thermoregulatory capacity of rodent tails by subjecting test organisms to varying levels of physical activity and quantifying heat conduction via the animals' tails. One study demonstrated a significant disparity in heat dissipation from a rat's tail relative to its abdomen. This observation was attributed to the higher proportion of vascularity in the tail, as well as its higher surface-area-to-volume ratio, which directly relates to heat's ability to dissipate via the skin. These findings were confirmed in a separate study analyzing the relationships of heat storage and mechanical efficiency in rodents that exercise in warm environments. In this study, the tail was a focal point in measuring heat accumulation and modulation.On the other hand, the tail's ability to function as a proprioceptive sensor and modulator has also been investigated. As aforementioned, the tail demonstrates a high degree of muscularization and subsequent innervation that ostensibly collaborate in orienting the organism. Specifically, this is accomplished by coordinated flexion and extension of tail muscles to produce slight shifts in the organism's center of mass, orientation, etc., which ultimately assists it with achieving a state of proprioceptive balance in its environment. Further mechanobiological investigations of the constituent tendons in the tail of the rat have identified multiple factors that influence how the organism navigates its environment with this structure. A particular example is that of a study in which the morphology of these tendons is explicated in detail. Namely, cell viability tests of tendons of the rat's tail demonstrate a higher proportion of living fibroblasts that produce the collagen for these fibers. As in humans, these tendons contain a high density of golgi tendon organs that help the animal assess stretching of muscle in situ and adjust accordingly by relaying the information to higher cortical areas associated with balance, proprioception, and movement.The characteristic tail of murids also displays a unique defense mechanism known as degloving in which the outer layer of the integument can be detached in order to facilitate the animal's escape from a predator. This evolutionary selective pressure has persisted despite a multitude of pathologies that can manifest upon shedding part of the tail and exposing more interior elements to the environment. Paramount among these are bacterial and viral infection, as the high density of vascular tissue within the tail becomes exposed upon avulsion or similar injury to the structure. The degloving response is a nocifensive response, meaning that it occurs when the animal is subjected to acute pain, such as when a predator snatches the organism by the tail.

As pets
Specially bred rats have been kept as pets at least since the late 19th century. Pet rats are typically variants of the species brown rat, but black rats and giant pouched rats are also sometimes kept. Pet rats behave differently from their wild counterparts depending on how many generations they have been kept as pets. Pet rats do not pose any more of a health risk than pets such as cats or dogs. Tamed rats are generally friendly and can be taught to perform selected behaviors.
Selective breeding has brought about different color and marking varieties in rats. Genetic mutations have also created different fur types, such as rex and hairless. Congenital malformation in selective breeding have created the dumbo rat, a popular pet choice due to their low, saucer-shaped ears. A breeding standard exists for rat fanciers wishing to breed and show their rat at a rat show.

As subjects for scientific research
In 1895, Clark University in Worcester, Massachusetts, established a population of domestic albino brown rats to study the effects of diet and for other physiological studies. Over the years, rats have been used in many experimental studies, adding to our understanding of genetics, diseases, the effects of drugs, and other topics that have provided a great benefit for the health and wellbeing of humankind.The aortic arches of the rat are among the most commonly studied in murine models due to marked anatomical homology to the human cardiovascular system. Both rat and human aortic arches exhibit subsequent branching of the brachiocephalic trunk, left common carotid artery, and left subclavian artery, as well as geometrically similar, nonplanar curvature in the aortic branches. Aortic arches studied in rats exhibit abnormalities similar to those of humans, including altered pulmonary arteries and double or absent aortic arches. Despite existing anatomical analogy in the inthrathoracic position of the heart itself, the murine model of the heart and its structures remains a valuable tool for studies of human cardiovascular conditions.The rat's larynx has been used in experimentations that involve inhalation toxicity, allograft rejection, and irradiation responses. One experiment described four features of the rat's larynx. The first being the location and attachments of the thyroarytenoid muscle, the alar cricoarytenoid muscle, and the superior cricoarytenoid muscle, the other of the newly named muscle that ran from the arytenoid to a midline tubercle on the cricoid. The newly named muscles were not seen in the human larynx. In addition, the location and configuration of the laryngeal alar cartilage was described.  The second feature was that the way the newly named muscles appear to be familiar to those in the human larynx. The third feature was that a clear understanding of how MEPs are distributed in each of the laryngeal muscles was helpful in understanding the effects of botulinum toxin injection. The MEPs in the posterior
cricoarytenoid muscle, lateral cricoarytenoid muscle, cricothyroid muscle, and superior
cricoarytenoid muscle were focused mostly at the midbelly. In addition, the medial thyroarytenoid muscle were focused at the midbelly while the lateral thyroarytenoid muscle MEPs were focused at the anterior third of the belly. The fourth and final feature that was cleared up was how the MEPs were distributed in the thyroarytenoid muscle.Laboratory rats have also proved valuable in psychological studies of learning and other mental processes (Barnett 2002), as well as to understand group behavior and overcrowding (with the work of John B. Calhoun on behavioral sink). A 2007 study found rats to possess metacognition, a mental ability previously only documented in humans and some primates.Domestic rats differ from wild rats in many ways. They are calmer and less likely to bite; they can tolerate greater crowding; they breed earlier and produce more offspring; and their brains, livers, kidneys, adrenal glands, and hearts are smaller (Barnett 2002).
Brown rats are often used as model organisms for scientific research. Since the publication of the rat genome sequence, and other advances, such as the creation of a rat SNP chip, and the production of knockout rats, the laboratory rat has become a useful genetic tool, although not as popular as mice. When it comes to conducting tests related to intelligence, learning, and drug abuse, rats are a popular choice due to their high intelligence, ingenuity, aggressiveness, and adaptability. Their psychology seems in many ways similar to that of humans.Entirely new breeds or ""lines"" of brown rats, such as the Wistar rat, have been bred for use in laboratories. Much of the genome of Rattus norvegicus has been sequenced.

General intelligence
Early studies found evidence both for and against measurable intelligence using the ""g factor"" in rats. Part of the difficulty of understanding animal cognition generally, is determining what to measure.  One aspect of intelligence is the ability to learn, which can be measured using a maze like the T-maze.  Experiments done in the 1920s showed that some rats performed better than others in maze tests, and if these rats were selectively bred, their offspring also performed better, suggesting that in rats an ability to learn was heritable in some way.

As food
Rat meat is a food that, while taboo in some cultures, is a dietary staple in others.

Working rats
Rats have been used as working animals. Tasks for working rats include the sniffing of gunpowder residue, demining, acting and animal-assisted therapy.

For odor detection
Rats have a keen sense of smell and are easy to train.  These characteristics have been employed, for example, by the Belgian non-governmental organization APOPO, which trains rats (specifically African giant pouched rats) to detect landmines and diagnose tuberculosis through smell.

As pests
Rats have long been considered deadly pests. Once considered a modern myth, the rat flood in India occurs every fifty years, as armies of bamboo rats descend upon rural areas and devour everything in their path. Rats have long been held up as the chief villain in the spread of the Bubonic Plague; however, recent studies show that rats alone could not account for the rapid spread of the disease through Europe in the Middle Ages. Still, the Centers for Disease Control does list nearly a dozen diseases directly linked to rats.
Most urban areas battle rat infestations. A 2015 study by the American Housing Survey (AHS) found that eighteen percent of homes in Philadelphia showed evidence of rodents. Boston, New York City, and Washington, D.C., also demonstrated significant rodent infestations. Indeed, rats in New York City are famous for their size and prevalence. The urban legend that the rat population in Manhattan equals that of its human population was definitively refuted by Robert Sullivan in his book Rats but illustrates New Yorkers' awareness of the presence, and on occasion boldness and cleverness, of the rodents. New York has specific regulations for eradicating rats; multifamily residences and commercial businesses must use a specially trained and licensed rat catcher.Chicago was declared the ""rattiest city"" in the US by the pest control company Orkin in 2020, for the sixth consecutive time. It's followed by Los Angeles, New York, Washington, DC, and San Francisco. To help combat the problem, a Chicago animal shelter has placed more than 1000 feral cats (sterilized and vaccinated) outside of homes and businesses since 2012, where they hunt and catch rats while also providing a deterrent simply by their presence.Rats have the ability to swim up sewer pipes into toilets. Rats will infest any area that provides shelter and easy access to sources of food and water, including under sinks, near garbage, and inside walls or cabinets.

In the spread of disease
Rats can serve as zoonotic vectors for certain pathogens and thus spread disease, such as bubonic plague, Lassa fever, leptospirosis, and Hantavirus infection.They are also associated with human dermatitis because they are frequently infested with blood feeding rodent mites such as the tropical rat mite (Ornithonyssus bacoti) and spiny rat mite (Laelaps echidnina), which will opportunistically bite and feed on humans, where the condition is known as rat mite dermatitis.

As invasive species
When introduced into locations where rats previously did not exist, they can wreak an enormous degree of environmental degradation. Rattus rattus, the black rat, is considered to be one of the world's worst invasive species. Also known as the ship rat, it has been carried worldwide as a stowaway on seagoing vessels for millennia and has usually accompanied men to any new area visited or settled by human beings by sea. The similar species Rattus norvegicus, the brown rat or wharf rat, has also been carried worldwide by ships in recent centuries.The ship or wharf rat has contributed to the extinction of many species of wildlife, including birds, small mammals, reptiles, invertebrates, and plants, especially on islands. True rats are omnivorous, capable of eating a wide range of plant and animal foods, and have a very high birth rate. When introduced to a new area, they quickly reproduce to take advantage of the new food supply. In particular, they prey on the eggs and young of forest birds, which on isolated islands often have no other predators and thus have no fear of predators. Some experts believe that rats are to blame for between forty percent and sixty percent of all seabird and reptile extinctions, with ninety percent of those occurring on islands. Thus man has indirectly caused the extinction of many species by accidentally introducing rats to new areas.

Rat-free areas
Rats are found in nearly all areas of Earth which are inhabited by human beings. The only rat-free continent is Antarctica, which is too cold for rat survival outdoors, and its lack of human habitation does not provide buildings to shelter them from the weather. However, rats have been introduced to many of the islands near Antarctica, and because of their destructive effect on native flora and fauna, efforts to eradicate them are ongoing. In particular, Bird Island (just off rat-infested South Georgia Island), where breeding seabirds could be badly affected if rats were introduced, is subject to special measures and regularly monitored for rat invasions.As part of island restoration, some islands' rat populations have been eradicated to protect or restore the ecology. Hawadax Island, Alaska was declared rat free after 229 years and Campbell Island, New Zealand after almost 200 years. Breaksea Island in New Zealand was declared rat free in 1988 after an eradication campaign based on a successful trial on the smaller Hawea Island nearby.
In January 2015, an international ""Rat Team"" set sail from the Falkland Islands for the British Overseas Territory of South Georgia and the South Sandwich Islands on board a ship carrying three helicopters and 100 tons of rat poison with the objective of ""reclaiming the island for its seabirds"". Rats have wiped out more than 90% of the seabirds on South Georgia, and the sponsors hope that once the rats are gone, it will regain its former status as home to the greatest concentration of seabirds in the world. The South Georgia Heritage Trust, which organized the mission describes it as ""five times larger than any other rodent eradication attempted worldwide"". That would be true if it were not for the rat control program in Alberta (see below).
The Canadian province of Alberta is notable for being the largest inhabited area on Earth which is free of true rats due to very aggressive government rat control policies. It has large numbers of native pack rats, also called bushy-tailed wood rats, but they are forest-dwelling vegetarians which are much less destructive than true rats.Alberta was settled relatively late in North American history and only became a province in 1905. Black rats cannot survive in its climate at all, and brown rats must live near people and in their structures to survive the winters. There are numerous predators in Canada's vast natural areas which will eat non-native rats, so it took until 1950 for invading rats to make their way over land from Eastern Canada. Immediately upon their arrival at the eastern border with Saskatchewan, the Alberta government implemented an extremely aggressive rat control program to stop them from advancing further. A systematic detection and eradication system was used throughout a control zone about 600 kilometres (400 mi) long and 30 kilometres (20 mi) wide along the eastern border to eliminate rat infestations before the rats could spread further into the province. Shotguns, bulldozers, high explosives, poison gas, and incendiaries were used to destroy rats. Numerous farm buildings were destroyed in the process. Initially, tons of arsenic trioxide were spread around thousands of farm yards to poison rats, but soon after the program commenced the rodenticide and medical drug warfarin was introduced, which is much safer for people and more effective at killing rats than arsenic.Forceful government control measures, strong public support and enthusiastic citizen participation continue to keep rat infestations to a minimum. The effectiveness has been aided by a similar but newer program in Saskatchewan which prevents rats from even reaching the Alberta border. Alberta still employs an armed rat patrol to control rats along Alberta's borders. About ten single rats are found and killed per year, and occasionally a large localized infestation has to be dug out with heavy machinery, but the number of permanent rat infestations is zero.

In culture
Ancient Romans did not generally differentiate between rats and mice, instead referring to the former as mus maximus (big mouse) and the latter as mus minimus (little mouse).On the Isle of Man, there is a taboo against the word ""rat"".

Asian cultures
The rat (sometimes referred to as a mouse) is the first of the twelve animals of the Chinese zodiac. People born in this year are expected to possess qualities associated with rats, including creativity, intelligence, honesty, generosity, ambition, a quick temper and wastefulness. People born in a year of the rat are said to get along well with ""monkeys"" and ""dragons"", and to get along poorly with ""horses"".

In Indian tradition, rats are seen as the vehicle of Ganesha, and a rat's statue is always found in a temple of Ganesh. In the northwestern Indian city of Deshnoke, the rats at the Karni Mata Temple are held to be destined for reincarnation as Sadhus (Hindu holy men). The attending priests feed milk and grain to the rats, of which the pilgrims also partake.

European cultures
European associations with the rat are generally negative. For instance, ""Rats!"" is used as a substitute for various vulgar interjections in the English language. These associations do not draw, per se, from any biological or behavioral trait of the rat, but possibly from the association of rats (and fleas) with the 14th-century medieval plague called the Black Death. Rats are seen as vicious, unclean, parasitic animals that steal food and spread disease. However, some people in European cultures keep rats as pets and conversely find them to be tame, clean, intelligent, and playful.
Rats are often used in scientific experiments; animal rights activists allege the treatment of rats in this context is cruel. The term ""lab rat"" is used, typically in a self-effacing manner, to describe a person whose job function requires them to spend a majority of their work time engaged in bench-level research (such as postgraduate students in the sciences).

Terminology
Rats are frequently blamed for damaging food supplies and other goods, or spreading disease. Their reputation has carried into common parlance: in the English language, ""rat"" is often an insult or is generally used to signify an unscrupulous character; it is also used, as a synonym for the term nark, to mean an individual who works as a police informant or who has turned state's evidence. Writer/director Preston Sturges created the humorous alias ""Ratskywatsky"" for a soldier who seduced, impregnated, and abandoned the heroine of his 1944 film, The Miracle of Morgan's Creek. It is a term (noun and verb) in criminal slang for an informant – ""to rat on someone"" is to betray them by informing the authorities of a crime or misdeed they committed. Describing a person as ""rat-like"" usually implies he or she is unattractive and suspicious.
Among trade unions, the word ""rat"" is also a term for nonunion employers or breakers of union contracts, and this is why unions use inflatable rats.

Fiction
Depictions of rats in fiction are historically inaccurate and negative. The most common falsehood is the squeaking almost always heard in otherwise realistic portrayals (i.e. nonanthropomorphic). While the recordings may be of actual squeaking rats, the noise is uncommon – they may do so only if distressed, hurt, or annoyed. Normal vocalizations are very high-pitched, well outside the range of human hearing. Rats are also often cast in vicious and aggressive roles when in fact, their shyness helps keep them undiscovered for so long in an infested home.
The actual portrayals of rats vary from negative to positive with a majority in the negative and ambiguous. The rat plays a villain in several mouse societies; from Brian Jacques's Redwall and Robin Jarvis's The Deptford Mice, to the roles of Disney's Professor Ratigan and Kate DiCamillo's Roscuro and Botticelli. They have often been used as a mechanism in horror; being the titular evil in stories like The Rats or H.P. Lovecraft's The Rats in the Walls and in films like Willard and Ben. Another terrifying use of rats is as a method of torture, for instance in Room 101 in George Orwell's Nineteen Eighty-Four or The Pit and the Pendulum by Edgar Allan Poe.
Selfish helpfulness —those willing to help for a price— has also been attributed to fictional rats. Templeton, from E. B. White's Charlotte's Web, repeatedly reminds the other characters that he is only involved because it means more food for him, and the cellar-rat of John Masefield's The Midnight Folk requires bribery to be of any assistance.
By contrast, the rats appearing in the Doctor Dolittle books tend to be highly positive and likeable characters, many of whom tell their remarkable life stories in the Mouse and Rat Club established by the animal-loving doctor.
Some fictional works use rats as the main characters. Notable examples include the society created by O'Brien's Mrs. Frisby and the Rats of NIMH, and others include Doctor Rat, and Rizzo the Rat from The Muppets. Pixar's 2007 animated film Ratatouille is about a rat described by Roger Ebert as ""earnest... lovable, determined, [and] gifted"" who lives with a Parisian garbage-boy-turned-chef.Mon oncle d'Amérique (""My American Uncle""), a 1980 French film, illustrates Henri Laborit's theories on evolutionary psychology and human behaviors by using short sequences in the storyline showing lab rat experiments.
In Harry Turtledove's science fiction novel Homeward Bound, humans unintentionally introduce rats to the ecology at the home world of an alien race which previously invaded Earth and introduced some of its own fauna into its environment. A. Bertram Chandler pitted the space-bound protagonist of a long series of novels, Commodore Grimes, against giant, intelligent rats who took over several stellar systems and enslaved their human inhabitants. ""The Stainless Steel Rat"" is nickname of the (human) protagonist of a series of humorous science fiction novels written by Harry Harrison.
Wererats, therianthropic creatures able to take the shape of a rat, have appeared in the fantasy or horror genre since the 1970s. The term is a neologism coined in analogy to werewolf. The concept has since become common in role playing games like Dungeons & Dragons and fantasy fiction like the Anita Blake series.

The Pied Piper
One of the oldest and most historic stories about rats is ""The Pied Piper of Hamelin"", in which a rat-catcher leads away an infestation with enchanted music. The piper is later refused payment, so he in turn leads away the town's children. This tale, traced to Germany around the late 13th century, has inspired adaptations in film, theatre, literature, and even opera. The subject of much research, some theories have intertwined the tale with events related to the Black Plague, in which black rats played an important role. Fictional works based on the tale that focus heavily on the rat aspect include Pratchett's The Amazing Maurice and his Educated Rodents, and Belgian graphic novel Le Bal du Rat Mort (The Ball of the Dead Rat). Furthermore, a linguistic phenomenon when a wh-expression drags with it an entire encompassing phrase to the front of the clause has been named pied-piping after ""Pied Piper of Hamlin"" (see also pied-piping with inversion).

See also
List of fictional rodents
Rat-baiting
Rat king

References
Further reading
List of books and articles about rats, is a non-fiction list.

External links
High-Resolution Images of the Rat Brain
National Bio Resource Project for the Rat in Japan
Rat Behaviour and Biology
Rat Genome Database
 Texts on Wikisource:
""Rat"". New International Encyclopedia. 1905.
""Rat"". Encyclopædia Britannica (11th ed.). 1911.
""Rat"". Encyclopedia Americana. 1920."
ox,"An ox () (plural oxen, ), also known as a bullock (in BrE, AusE, and IndE), is a male bovine trained and used as a draft animal. Oxen are commonly castrated adult male cattle; castration inhibits testosterone and aggression, which makes the males docile and safer to work with. Cows (adult females) or bulls (intact males) may also be used in some areas.
Oxen are used for plowing, for transport (pulling carts, hauling wagons and even riding), for threshing grain by trampling, and for powering machines that grind grain or supply irrigation among other purposes. Oxen may be also used to skid logs in forests, particularly in low-impact, select-cut logging.
Oxen are usually yoked in pairs. Light work such as carting household items on good roads might require just one pair, while for heavier work, further pairs would be added as necessary. A team used for a heavy load over difficult ground might exceed nine or ten pairs.","An ox () (plural oxen, ), also known as a bullock (in BrE, AusE, and IndE), is a male bovine trained and used as a draft animal. Oxen are commonly castrated adult male cattle; castration inhibits testosterone and aggression, which makes the males docile and safer to work with. Cows (adult females) or bulls (intact males) may also be used in some areas.
Oxen are used for plowing, for transport (pulling carts, hauling wagons and even riding), for threshing grain by trampling, and for powering machines that grind grain or supply irrigation among other purposes. Oxen may be also used to skid logs in forests, particularly in low-impact, select-cut logging.
Oxen are usually yoked in pairs. Light work such as carting household items on good roads might require just one pair, while for heavier work, further pairs would be added as necessary. A team used for a heavy load over difficult ground might exceed nine or ten pairs.

Domestication
Oxen are thought to have first been harnessed and put to work around 4000 BC.

Training
Working oxen are taught to respond to the signals of the teamster, bullocky or ox-driver. These signals are given by verbal command and body language, reinforced by a goad, whip or a long pole (which also serves as a measure of length: see rod). In pre-industrial times, most teamsters were known for their loud voices and forthright language.Verbal commands for draft animals vary widely throughout the world. In North America, the most common commands are:

Back: back up
Gee: turn to the right
Get up (also giddyup or giddyap, contractions for ""get thee up"" or ""get ye up""): go
Haw: turn to the left
Whoa: stopIn the New England tradition, young castrated cattle selected for draft are known as working steers and are painstakingly trained from a young age. Their teamster makes or buys as many as a dozen yokes of different sizes for each animal as it grows. The steers are normally considered fully trained at the age of four and only then become known as oxen.A tradition in southeastern England was to use oxen (often Sussex cattle) as dual-purpose animals: for draft and beef. A plowing team of eight oxen normally consisted of four pairs aged a year apart. 
Each year, a pair of steers of about three years of age would be bought for the team and trained with the older animals. The pair would be kept for about four years, then sold at about seven years old to be fattened for beef – thus covering much of the cost of buying that year's new pair. Use of oxen for plowing survived in some areas of England (such as the South Downs) until the early twentieth century.Pairs of oxen were always hitched the same way round, and they were often given paired names. In southern England it was traditional to call the near-side (left) ox of a pair by a single-syllable name and the off-side (right) one by a longer one (for example: Lark and Linnet, Turk and Tiger).Ox trainers favor larger animals for their ability to do more work. Oxen are therefore usually of larger breeds, and are usually males because they are generally larger. Females can also be trained as oxen, but as well as being smaller, are often more valued for producing calves and milk. Bulls are also used in many parts of the world, especially Asia and Africa.

Shoeing
Working oxen usually require shoes, although in England not all working oxen were shod. Since their hooves are cloven, two shoes are required for each hoof, as opposed to a single horseshoe. Ox shoes are usually of approximately half-moon or banana shape, either with or without caulkins, and are fitted in symmetrical pairs to the hooves. Unlike horses, oxen are not easily able to balance on three legs while a farrier shoes the fourth.In England, shoeing was accomplished by throwing the ox to the ground and lashing all four feet to a heavy wooden tripod until the shoeing was complete. A similar technique was used in Serbia and, in a simpler form, in India, where it is still practiced.In Italy, where oxen may be very large, shoeing is accomplished using a massive framework of beams in which the animal can be partly or completely lifted from the ground by slings passed under the body; the feet are then lashed to lateral beams or held with a rope while the shoes are fitted.Such devices were made of wood in the past, but may today be of metal. Similar devices are found in France, Austria, Germany, Spain, Canada and the United States, where they may be called ox slings, ox presses or shoeing stalls.The system was sometimes adopted in England also, where the device was called a crush or trevis; one example is recorded in the Vale of Pewsey. The shoeing of an ox partly lifted in a sling is the subject of John Singer Sargent's painting Shoeing the Ox, while A Smith Shoeing an Ox by Karel Dujardin shows an ox being shod standing, tied to a post by the horns and balanced by supporting the raised hoof.

Uses and comparison to horses
Oxen can pull heavier loads, and pull for a longer period of time than horses depending on weather conditions.On the other hand, they are also slower than horses, which has both advantages and disadvantages; their pulling style is steadier, but they cannot cover as much ground in a given period of time. For agricultural purposes, oxen are more suitable for heavy tasks such as breaking sod or plowing in wet, heavy, or clay-filled soil. 
When hauling freight, oxen can move very heavy loads in a slow and steady fashion. They are at a disadvantage compared to horses when it is necessary to pull a plow or load of freight relatively quickly.
For millennia, oxen also could pull heavier loads because of the use of the yoke, which was designed to work best with the neck and shoulder anatomy of cattle. Until the invention of the horse collar, which allowed the horse to engage the pushing power of its hindquarters in moving a load, horses could not pull with their full strength because the yoke was incompatible with their anatomy (yokes press on their chest, inhibiting their breathing).

See also
Aurochs
Bullock cart (ox-cart)
Bullocky (ox-driver, teamster)
Ox (zodiac)
Ox in Chinese mythology
Ox-wagon (bullock wagon)
Oxtail
Ridge and furrow

References
External links
 Media related to Oxen at Wikimedia Commons"
