page_title|card|sentence
Rat|rat|Rats are various medium-sized, long-tailed rodents
Rat|rat|Species of rats are found throughout the order Rodentia, but stereotypical rats are found in the genus Rattus
Rat|rat|Other rat genera include Neotoma (pack rats), Bandicota (bandicoot rats) and Dipodomys (kangaroo rats).
Rat|rat|Rats are typically distinguished from mice by their size
Rat|rat|"Usually the common name of a large muroid rodent will include the word ""rat"", while a smaller muroid's name will include ""mouse"""
Rat|rat|The common terms rat and mouse are not taxonomically specific
Rat|rat|There are 56 known species of rats in the world.
Rat|rat|The best-known rat species are the black rat (Rattus rattus) and the brown rat (Rattus norvegicus)
Rat|rat|This group, generally known as the Old World rats or true rats, originated in Asia
Rat|rat|Rats are bigger than most Old World mice, which are their relatives, but seldom weigh over 500 grams (17+1⁄2 oz) in the wild.The term rat is also used in the names of other small mammals that are not true rats
Rat|rat|Examples include the North American pack rats (aka wood rats) and a number of species loosely called kangaroo rats
Rat|rat|Rats such as the bandicoot rat (Bandicota bengalensis) are murine rodents related to true rats but are not members of the genus Rattus.
Rat|rat|Male rats are called bucks; unmated females, does, pregnant or parent females, dams; and infants, kittens or pups
Rat|rat|A group of rats is referred to as a mischief.The common species are opportunistic survivors and often live with and near humans; therefore, they are known as commensals
Rat|rat|They may cause substantial food losses, especially in developing countries
Rat|rat|However, the widely distributed and problematic commensal species of rats are a minority in this diverse genus
Rat|rat|Many species of rats are island endemics, some of which have become endangered due to habitat loss or competition with the brown, black, or Polynesian rat.Wild rodents, including rats, can carry many different zoonotic pathogens, such as Leptospira, Toxoplasma gondii, and Campylobacter
Rat|rat|The Black Death is traditionally believed to have been caused by the microorganism Yersinia pestis, carried by the tropical rat flea (Xenopsylla cheopis), which preyed on black rats living in European cities during the epidemic outbreaks of the Middle Ages; these rats were used as transport hosts
Rat|rat|Another zoonotic disease linked to the rat is foot-and-mouth disease.Rats become sexually mature at age 6 weeks, but reach social maturity at about 5 to 6 months of age
Rat|rat|The average lifespan of rats varies by species, but many only live about a year due to predation.The black and brown rats diverged from other Old World rats in the forests of Asia during the beginning of the Pleistocene.
Rat|rat|The characteristic long tail of most rodents is a feature that has been extensively studied in various rat species models, which suggest three primary functions of this structure
Rat|rat|thermoregulation, minor proprioception, and a nocifensive-mediated degloving response
Rat|rat|Rodent tails—particularly in rat models—have been implicated with a thermoregulation function that follows from its anatomical construction
Rat|rat|This particular tail morphology is evident across the family Muridae, in contrast to the bushier tails of Sciuridae, the squirrel family
Rat|rat|The tail is hairless and thin skinned but highly vascularized, thus allowing for efficient countercurrent heat exchange with the environment
Rat|rat|The high muscular and connective tissue densities of the tail, along with ample muscle attachment sites along its plentiful caudal vertebrae, facilitate specific proprioceptive senses to help orient the rodent in a three-dimensional environment
Rat|rat|Murids have evolved a unique defense mechanism termed degloving that allows for escape from predation through the loss of the outermost integumentary layer on the tail
Rat|rat|However, this mechanism is associated with multiple pathologies that have been the subject of investigation.Multiple studies have explored the thermoregulatory capacity of rodent tails by subjecting test organisms to varying levels of physical activity and quantifying heat conduction via the animals' tails
Rat|rat|One study demonstrated a significant disparity in heat dissipation from a rat's tail relative to its abdomen
Rat|rat|This observation was attributed to the higher proportion of vascularity in the tail, as well as its higher surface-area-to-volume ratio, which directly relates to heat's ability to dissipate via the skin
Rat|rat|These findings were confirmed in a separate study analyzing the relationships of heat storage and mechanical efficiency in rodents that exercise in warm environments
Rat|rat|In this study, the tail was a focal point in measuring heat accumulation and modulation.On the other hand, the tail's ability to function as a proprioceptive sensor and modulator has also been investigated
Rat|rat|As aforementioned, the tail demonstrates a high degree of muscularization and subsequent innervation that ostensibly collaborate in orienting the organism
Rat|rat|Specifically, this is accomplished by coordinated flexion and extension of tail muscles to produce slight shifts in the organism's center of mass, orientation, etc., which ultimately assists it with achieving a state of proprioceptive balance in its environment
Rat|rat|Further mechanobiological investigations of the constituent tendons in the tail of the rat have identified multiple factors that influence how the organism navigates its environment with this structure
Rat|rat|A particular example is that of a study in which the morphology of these tendons is explicated in detail
Rat|rat|Namely, cell viability tests of tendons of the rat's tail demonstrate a higher proportion of living fibroblasts that produce the collagen for these fibers
Rat|rat|As in humans, these tendons contain a high density of golgi tendon organs that help the animal assess stretching of muscle in situ and adjust accordingly by relaying the information to higher cortical areas associated with balance, proprioception, and movement.The characteristic tail of murids also displays a unique defense mechanism known as degloving in which the outer layer of the integument can be detached in order to facilitate the animal's escape from a predator
Rat|rat|This evolutionary selective pressure has persisted despite a multitude of pathologies that can manifest upon shedding part of the tail and exposing more interior elements to the environment
Rat|rat|Paramount among these are bacterial and viral infection, as the high density of vascular tissue within the tail becomes exposed upon avulsion or similar injury to the structure
Rat|rat|The degloving response is a nocifensive response, meaning that it occurs when the animal is subjected to acute pain, such as when a predator snatches the organism by the tail.
Rat|rat|Specially bred rats have been kept as pets at least since the late 19th century
Rat|rat|Pet rats are typically variants of the species brown rat, but black rats and giant pouched rats are also sometimes kept
Rat|rat|Pet rats behave differently from their wild counterparts depending on how many generations they have been kept as pets
Rat|rat|Pet rats do not pose any more of a health risk than pets such as cats or dogs
Rat|rat|Tamed rats are generally friendly and can be taught to perform selected behaviors.
Rat|rat|Selective breeding has brought about different color and marking varieties in rats
Rat|rat|Genetic mutations have also created different fur types, such as rex and hairless
Rat|rat|Congenital malformation in selective breeding have created the dumbo rat, a popular pet choice due to their low, saucer-shaped ears
Rat|rat|A breeding standard exists for rat fanciers wishing to breed and show their rat at a rat show.
Rat|rat|In 1895, Clark University in Worcester, Massachusetts, established a population of domestic albino brown rats to study the effects of diet and for other physiological studies
Rat|rat|Over the years, rats have been used in many experimental studies, adding to our understanding of genetics, diseases, the effects of drugs, and other topics that have provided a great benefit for the health and wellbeing of humankind.The aortic arches of the rat are among the most commonly studied in murine models due to marked anatomical homology to the human cardiovascular system
Rat|rat|Both rat and human aortic arches exhibit subsequent branching of the brachiocephalic trunk, left common carotid artery, and left subclavian artery, as well as geometrically similar, nonplanar curvature in the aortic branches
Rat|rat|Aortic arches studied in rats exhibit abnormalities similar to those of humans, including altered pulmonary arteries and double or absent aortic arches
Rat|rat|Despite existing anatomical analogy in the inthrathoracic position of the heart itself, the murine model of the heart and its structures remains a valuable tool for studies of human cardiovascular conditions.The rat's larynx has been used in experimentations that involve inhalation toxicity, allograft rejection, and irradiation responses
Rat|rat|One experiment described four features of the rat's larynx
Rat|rat|The first being the location and attachments of the thyroarytenoid muscle, the alar cricoarytenoid muscle, and the superior cricoarytenoid muscle, the other of the newly named muscle that ran from the arytenoid to a midline tubercle on the cricoid
Rat|rat|The newly named muscles were not seen in the human larynx
Rat|rat|In addition, the location and configuration of the laryngeal alar cartilage was described
Rat|rat|The second feature was that the way the newly named muscles appear to be familiar to those in the human larynx
Rat|rat|The third feature was that a clear understanding of how MEPs are distributed in each of the laryngeal muscles was helpful in understanding the effects of botulinum toxin injection
Rat|rat|The MEPs in the posterior
Rat|rat|cricoarytenoid muscle were focused mostly at the midbelly
Rat|rat|In addition, the medial thyroarytenoid muscle were focused at the midbelly while the lateral thyroarytenoid muscle MEPs were focused at the anterior third of the belly
Rat|rat|The fourth and final feature that was cleared up was how the MEPs were distributed in the thyroarytenoid muscle.Laboratory rats have also proved valuable in psychological studies of learning and other mental processes (Barnett 2002), as well as to understand group behavior and overcrowding (with the work of John B
Rat|rat|Calhoun on behavioral sink)
Rat|rat|A 2007 study found rats to possess metacognition, a mental ability previously only documented in humans and some primates.Domestic rats differ from wild rats in many ways
Rat|rat|They are calmer and less likely to bite; they can tolerate greater crowding; they breed earlier and produce more offspring; and their brains, livers, kidneys, adrenal glands, and hearts are smaller (Barnett 2002).
Rat|rat|Brown rats are often used as model organisms for scientific research
Rat|rat|Since the publication of the rat genome sequence, and other advances, such as the creation of a rat SNP chip, and the production of knockout rats, the laboratory rat has become a useful genetic tool, although not as popular as mice
Rat|rat|When it comes to conducting tests related to intelligence, learning, and drug abuse, rats are a popular choice due to their high intelligence, ingenuity, aggressiveness, and adaptability
Rat|rat|"Their psychology seems in many ways similar to that of humans.Entirely new breeds or ""lines"" of brown rats, such as the Wistar rat, have been bred for use in laboratories"
Rat|rat|Much of the genome of Rattus norvegicus has been sequenced.
Rat|rat|"Early studies found evidence both for and against measurable intelligence using the ""g factor"" in rats"
Rat|rat|Part of the difficulty of understanding animal cognition generally, is determining what to measure
Rat|rat|One aspect of intelligence is the ability to learn, which can be measured using a maze like the T-maze
Rat|rat|Experiments done in the 1920s showed that some rats performed better than others in maze tests, and if these rats were selectively bred, their offspring also performed better, suggesting that in rats an ability to learn was heritable in some way.
Rat|rat|Rats have been used as working animals
Rat|rat|Tasks for working rats include the sniffing of gunpowder residue, demining, acting and animal-assisted therapy.
Rat|rat|Rats have a keen sense of smell and are easy to train
Rat|rat|These characteristics have been employed, for example, by the Belgian non-governmental organization APOPO, which trains rats (specifically African giant pouched rats) to detect landmines and diagnose tuberculosis through smell.
Rat|rat|Rats have long been considered deadly pests
Rat|rat|Once considered a modern myth, the rat flood in India occurs every fifty years, as armies of bamboo rats descend upon rural areas and devour everything in their path
Rat|rat|Rats have long been held up as the chief villain in the spread of the Bubonic Plague; however, recent studies show that rats alone could not account for the rapid spread of the disease through Europe in the Middle Ages
Rat|rat|Still, the Centers for Disease Control does list nearly a dozen diseases directly linked to rats.
Rat|rat|Most urban areas battle rat infestations
Rat|rat|A 2015 study by the American Housing Survey (AHS) found that eighteen percent of homes in Philadelphia showed evidence of rodents
Rat|rat|Boston, New York City, and Washington, D.C., also demonstrated significant rodent infestations
Rat|rat|Indeed, rats in New York City are famous for their size and prevalence
Rat|rat|The urban legend that the rat population in Manhattan equals that of its human population was definitively refuted by Robert Sullivan in his book Rats but illustrates New Yorkers' awareness of the presence, and on occasion boldness and cleverness, of the rodents
Rat|rat|"New York has specific regulations for eradicating rats; multifamily residences and commercial businesses must use a specially trained and licensed rat catcher.Chicago was declared the ""rattiest city"" in the US by the pest control company Orkin in 2020, for the sixth consecutive time"
Rat|rat|It's followed by Los Angeles, New York, Washington, DC, and San Francisco
Rat|rat|To help combat the problem, a Chicago animal shelter has placed more than 1000 feral cats (sterilized and vaccinated) outside of homes and businesses since 2012, where they hunt and catch rats while also providing a deterrent simply by their presence.Rats have the ability to swim up sewer pipes into toilets
